member_name,committee_sector
john boozman,Consumer Staples
mitch mcconnell,Consumer Staples
john hoeven,Consumer Staples
joni ernst,Consumer Staples
cindy hyde-smith,Consumer Staples
roger marshall,Consumer Staples
tommy tuberville,Consumer Staples
jim justice,Consumer Staples
charles “chuck” grassley,Consumer Staples
john thune,Consumer Staples
deb fischer,Consumer Staples
jerry moran,Consumer Staples
amy klobuchar,Consumer Staples
michael bennet,Consumer Staples
tina smith,Consumer Staples
richard durbin,Consumer Staples
cory booker,Consumer Staples
ben ray luján,Consumer Staples
raphael warnock,Consumer Staples
peter welch,Consumer Staples
john fetterman,Consumer Staples
adam schiff,Consumer Staples
elissa slotkin,Consumer Staples
cindy hyde-smith,Unknown
charles “chuck” grassley,Unknown
jerry moran,Unknown
mitch mcconnell,Unknown
tommy tuberville,Unknown
john thune,Unknown
john boozman,Unknown
cory booker,Unknown
richard durbin,Unknown
adam schiff,Unknown
john fetterman,Unknown
elissa slotkin,Unknown
amy klobuchar,Unknown
roger marshall,Energy
jim justice,Energy
john hoeven,Energy
john thune,Energy
joni ernst,Energy
cindy hyde-smith,Energy
john boozman,Energy
michael bennet,Energy
ben ray luján,Energy
raphael warnock,Energy
peter welch,Energy
adam schiff,Energy
amy klobuchar,Energy
roger marshall,Unknown
john hoeven,Unknown
jim justice,Unknown
ben ray luján,Unknown
raphael warnock,Unknown
tina smith,Unknown
deb fischer,Unknown
joni ernst,Unknown
peter welch,Unknown
michael bennet,Unknown
susan collins,Unknown
lisa murkowski,Unknown
lindsey graham,Unknown
shelley moore capito,Unknown
john neely kennedy,Unknown
bill hagerty,Unknown
katie britt,Unknown
markwayne mullin,Unknown
mike rounds,Unknown
patty murray,Unknown
john f. “jack” reed,Unknown
jeanne shaheen,Unknown
jeff merkley,Unknown
christopher coons,Unknown
brian schatz,Unknown
tammy baldwin,Unknown
christopher murphy,Unknown
chris van hollen,Unknown
martin heinrich,Unknown
gary peters,Unknown
kirsten gillibrand,Unknown
jon ossoff,Unknown
susan collins,Consumer Staples
markwayne mullin,Consumer Staples
mike rounds,Consumer Staples
jeanne shaheen,Consumer Staples
jeff merkley,Consumer Staples
tammy baldwin,Consumer Staples
martin heinrich,Consumer Staples
gary peters,Consumer Staples
kirsten gillibrand,Consumer Staples
jon ossoff,Consumer Staples
patty murray,Consumer Staples
jerry moran,Communication Services
lisa murkowski,Communication Services
susan collins,Communication Services
lindsey graham,Communication Services
shelley moore capito,Communication Services
john neely kennedy,Communication Services
bill hagerty,Communication Services
katie britt,Communication Services
deb fischer,Communication Services
chris van hollen,Communication Services
john f. “jack” reed,Communication Services
jeanne shaheen,Communication Services
christopher coons,Communication Services
brian schatz,Communication Services
jeff merkley,Communication Services
gary peters,Communication Services
kirsten gillibrand,Communication Services
patty murray,Communication Services
bill hagerty,Financials
john boozman,Financials
susan collins,Financials
markwayne mullin,Financials
deb fischer,Financials
